symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,social_missing,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
ABCL,2026-06-08 09:00:00-04:00,2026-06-08,10,0,5.85,5.94,5.555,5.63,False,True,25.61,-28.784304603744125,-27.316435090681853,-0.6734276563767058,red,0.7234,0.2692,0.1562,81.6,0.015138023152270697,0.06838365896980474,0.5714285714285697,0.19480519480519493,0.6881149188875438,3941200.224447349,2.0,0.05506216696269991,0.013321492007104828,0.0,0.30017761989342806,0.2060390763765542,0.2060390763765542,0.0749403341288783,0.27145438121047877,0.33672064200579344,1,0.0,0.0,0.0,0.0,31.5,NEUTRAL,127.0,1,50.26,0,1,0,0.00492,0.049734,0,0,0,0.00492,0.09839999999999999
ABCL,2026-06-08 14:00:00-04:00,2026-06-08,15,0,5.45,5.53,5.44,5.475,False,True,18.53,-39.74438749924837,-38.429867447268016,-0.36110549103175815,yellow,0.7234,0.2692,0.1562,81.6,0.015138023152270697,0.016438356164383536,0.2777777777777723,0.38888888888888123,0.4709989630957812,2507297.88793365,7.0,0.0849315068493152,0.022831050228310504,3.0,0.2803652968036529,0.24018264840182657,0.24018264840182657,0.04534606205250594,0.2364498644986449,0.29991927441948824,1,0.0,0.00492,0.0,1.0,30.0,NEUTRAL,130.9,1,39.91,0,0,0,0.010046,0.013699,0,0,0,0.010046,0.20092
ABCL,2026-06-09 06:00:00-04:00,2026-06-09,7,1,5.6066,5.6066,5.51,5.51,True,False,18.21,-36.7688252353401,-39.127521380788764,0.00875134164799555,red,0.7234,0.2127,0.1449,81.6,0.03347465437788026,0.017531760435571773,1.0,0.0,0.009676685534411127,42339.7767,1.0,0.017531760435571773,0.0,0.0,0.2849364791288566,0.23230490018148825,0.23230490018148825,0.050223958829695915,0.2328276726182484,0.3062908215881746,1,0.0,0.007483,0.0,2.0,35.0,NEUTRAL,118.8,1,59.63,1,1,0,0.025408,0.060799,0,0,1,0.025408,-1.0
ABCL,2026-06-09 14:00:00-04:00,2026-06-09,15,0,5.27,5.3096,5.25,5.29,True,False,11.39,-48.67192406737449,-49.1346549457509,-0.039358022907227015,yellow,0.7234,0.2127,0.1449,81.6,0.03347465437788026,0.011266540642722051,0.3355704697986674,0.6711409395973199,0.25660519513419844,911976.5597895798,7.0,0.06805293005671084,0.051039697542533166,2.0,0.2551984877126654,0.2835538752362949,0.2835538752362949,0.008291241780234417,0.18360406318521497,0.2541340192743093,1,0.0,0.010046,0.0,3.0,35.0,NEUTRAL,137.3,1,41.07,0,0,0,0.006616,0.011342,0,0,0,0.006616,0.13232
ABCL,2026-06-11 06:00:00-04:00,2026-06-11,7,1,5.28,5.28,5.24,5.249,True,False,25.64,-39.53970697687969,-43.57469102779844,0.21466558601608182,red,0.7234,0.1196,0.1176,73.5,0.03529411764705894,0.0076204991426938535,0.7750000000000139,0.22499999999998613,0.010251731862743611,27042.847999999998,1.0,0.005905886835587843,0.0017146123071060113,0.0,0.24938083444465609,0.2935797294722805,0.2935797294722805,-0.0013318112633182195,0.15459064713387002,0.24191125149353496,1,0.0,0.008331,0.0,4.0,36.6,NEUTRAL,111.6,1,66.23,1,1,0,0.013526,0.041532,0,0,0,0.013526,0.27052
ABCL,2026-06-11 13:00:00-04:00,2026-06-11,14,0,5.0999,5.32,5.05,5.295,True,False,56.27,-36.96727689443241,-43.15773124730912,0.9178641164136204,green,0.7234,0.1196,0.1176,73.5,0.03529411764705894,0.05099150141643068,0.7225925925925916,0.9074074074074062,1.4660544119107881,4012373.51493585,6.0,0.004721435316336234,0.04985835694050996,1.0,0.2559017941454202,0.28234183191690276,0.28234183191690276,0.0074200913242008565,0.16470898772601297,0.2527948326649396,1,0.0,0.010046,0.0,5.0,25.0,NEUTRAL,103.2,1,11.22,0,0,0,0.003777,0.018886,0,0,0,0.003777,0.07554
ABCL,2026-06-16 06:00:00-04:00,2026-06-16,7,1,5.33,5.33,5.27,5.27,False,True,35.36,-2.68959460857944,1.9770416647105193,-0.1880018337048409,red,0.7234,0.1309,0.0761,74.7,0.01330798479087458,0.011385199240986812,1.0,0.0,0.009300234958298289,20004.92,1.0,0.011385199240986812,0.0,0.0,0.25237191650853885,0.2884250474383303,0.2884250474383303,-0.020719130353990756,0.1330409356725145,0.24273401483263182,1,0.0,0.008331,0.0,6.0,54.1,LAUNCH,126.7,1,70.6,1,1,0,0.003776,0.049336,0,0,0,0.003776,0.07551999999999999
ABCL,2026-06-16 12:00:00-04:00,2026-06-16,13,1,5.075,5.235,5.075,5.205,False,True,44.25,-28.528755424235545,-21.527688368095525,0.14625590027720917,green,0.7234,0.1309,0.0761,74.7,0.01330798479087458,0.030739673390970248,0.8124999999999987,0.8124999999999987,1.6818522947289196,3800270.0664606155,5.0,0.024015369836695485,0.03746397694524501,2.0,0.24303554274735834,0.3045148895292987,0.3045148895292987,-0.0327975471522811,0.1190660474716202,0.22740617594000934,1,0.0,0.006616,0.0,7.0,31.9,NEUTRAL,96.7,1,77.82,1,1,0,0.012488,0.024976,0,0,0,0.012488,0.24976
ABCL,2026-06-16 13:00:00-04:00,2026-06-16,14,0,5.205,5.25,5.195,5.225,True,False,47.5,-24.390820124885405,-25.55079926778177,0.4108858237797269,yellow,0.7234,0.1309,0.0761,74.7,0.01330798479087458,0.01052631578947363,0.36363636363635776,0.5454545454545366,0.40178758831823763,904522.58290515,6.0,0.02009569377990439,0.04114832535885165,3.0,0.24593301435406695,0.2995215311004786,0.2995215311004786,-0.02908111121434566,0.12336601307189529,0.23212243406081617,1,0.0,0.008331,0.0,8.0,41.2,NEUTRAL,129.4,1,43.13,0,1,0,0.008612,0.028708,0,0,0,0.008612,0.17223999999999998
ABCL,2026-06-17 09:00:00-04:00,2026-06-17,10,0,5.2099,5.545,5.17,5.4,True,False,71.21,-14.08057023718831,-22.867772331616578,1.5878822818673366,green,0.7234,0.0864,0.0689,70.2,0.006882989183874168,0.06944444444444443,0.5069333333333338,0.6133333333333345,1.7406682228224666,3978692.7396767996,2.0,0.026851851851851773,0.05185185185185189,2.0,0.2703703703703704,0.2574074074074073,0.2574074074074073,-0.005158437730287321,0.15256552548450447,0.27220468359798333,1,0.0,0.008612,0.0,9.0,5.0,EXTENSION,77.0,1,6.76,0,0,1,0.066667,0.013889,1,1,0,0.066667,1.0
