symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple,social_missing,guidance_cut,print,outlook,news_velocity_24h,news_velocity_72h,news_headline_count_48h,dilution_flag,distress_flag,unresolved,catalyst_type,st_msg_24h,st_bull_ratio,st_ok,x_posts_24h,x_authors_24h,x_engage_24h,x_sent_lex,x_ok
ABCL,2026-06-18 15:00:00-04:00,2026-06-18,16,0,5.435,5.55,5.425,5.54,False,True,71.34,9.561717257863997,10.977737985989934,0.5018023005223132,green,0.6765,0.1506,0.0714,73.5,0.0606422676053747,0.0225631768953068,0.8400000000000034,0.9200000000000016,1.637737160550138,5823846.659120379,8.0,0.0451263537906137,0.0378880866425993,3.0,0.2689530685920578,0.2256317689530685,0.2256317689530685,0.0077307867212368,0.1717428087986464,0.3032534286856899,1,0.0,0.009329,0.1,10.0,0.0,NEUTRAL,75.2,6.36,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-22 06:00:00-04:00,2026-06-22,7,1,5.49,5.53,5.48,5.505,True,False,54.3,11.447589696869578,9.84061105386202,0.3637707588291611,yellow,0.5258,0.1593,0.067,64.3,-0.0090252707581227,0.0090826521344232,0.2999999999999946,0.4999999999999911,0.0101125435090387,33718.125,1.0,0.0045413260672116,0.0045413260672115,4.0,0.1916439600363305,0.2334241598546776,0.2334241598546776,-0.0073032188260753,0.1540880503144654,0.292769415024775,1,0.0,0.008612,0.0909090909090909,11.0,35.0,NEUTRAL,100.3,64.81,1,1,1,0.066303,0.0,1,1,0,0.066303,1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-23 09:00:00-04:00,2026-06-23,10,0,5.46,5.8493,5.4,5.8493,False,True,49.2,29.295767317280895,35.8990154054013,0.5069113577555227,green,0.3553,0.1919,0.0645,56.2,-0.054006968641115,0.0768126100559041,0.8664589361228586,1.0,0.7339564854997328,2893826.019789956,2.0,0.0,0.0768126100559041,4.0,0.1434872548852,0.1608226625408167,0.1608226625408167,0.0491077033449915,0.2145556478405314,0.3708065291009011,1,0.0,0.009329,0.1666666666666666,12.0,36.2,NEUTRAL,98.6,46.56,0,1,0,0.012087,0.039201,0,0,0,0.012087,0.24174,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-23 11:00:00-04:00,2026-06-23,12,1,5.745,5.7727,5.63,5.725,True,False,30.51,31.97412409366775,30.983132351761256,-0.1028736767538107,orange,0.3553,0.1919,0.0645,56.2,-0.054006968641115,0.0249257641921398,0.1401541695865479,0.6657323055360856,1.540750298748946,5975090.53345115,4.0,0.034061135371179,0.0567685589519649,0.0,0.1248908296943231,0.1860262008733625,0.1860262008733625,0.0268137386781454,0.1887458471760794,0.341676333766888,1,0.0,0.010046,0.1538461538461538,13.0,48.8,NEUTRAL,109.9,78.96,1,1,0,0.024996,0.018341,0,0,0,0.024996,0.49992,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-24 09:00:00-04:00,2026-06-24,10,0,5.6413,6.0996,5.62,5.85,True,False,62.96,28.464397837516945,26.114265540088944,0.5640269254749825,yellow,0.3553,0.159,0.0668,52.9,0.002661934338953,0.0819829059829059,0.4351542952460376,0.4795663052543781,1.3609197433552778,5093304.267372749,2.0,0.0426666666666666,0.0393162393162392,1.0,0.1435897435897435,0.1606837606837607,0.1606837606837607,0.0452027872074325,0.2042488369220634,0.3686131386861316,1,0.0,0.0110665,0.1428571428571428,14.0,25.0,NEUTRAL,88.3,19.53,0,0,1,0.081197,0.045299,1,1,0,0.081197,1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-25 06:00:00-04:00,2026-06-25,7,1,6.21,6.29,6.21,6.26,True,False,44.52,59.16851771071536,55.62311584765131,1.2318064676631704,green,0.3553,0.2293,0.0733,57.0,0.0298507462686566,0.0127795527156549,0.6249999999999972,0.6249999999999972,0.0282623073202998,171649.19999999998,1.0,0.0047923322683706,0.0079872204472843,2.0,0.1996805111821086,0.0846645367412141,0.0846645367412141,0.1111111111111111,0.2761966892277581,0.4614387934958969,1,0.0,0.012087,0.2,15.0,36.2,NEUTRAL,90.3,57.47,1,1,1,0.095847,0.027157,1,1,0,0.095847,1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-26 10:00:00-04:00,2026-06-26,11,1,6.8,7.045,6.8,6.96,True,False,50.45,68.48050839738322,68.21351182650078,1.2634284097153934,green,0.3693,0.3419,0.0835,58.0,-0.0270676691729324,0.0352011494252873,0.6530612244897962,0.6530612244897962,1.269130916415979,12609728.3461512,3.0,0.0122126436781609,0.0704022988505747,3.0,0.2801724137931035,-0.0143678160919539,-0.0143678160919539,0.222124670763828,0.4023210831721471,0.6201494448194789,1,0.0,0.0122875,0.25,16.0,35.0,NEUTRAL,98.9,50.75,1,1,1,0.063218,0.007184,1,1,0,0.063218,1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-29 06:00:00-04:00,2026-06-29,7,1,7.74,7.76,7.72,7.72,True,False,47.35,74.57014248312281,71.69303867345721,2.0,red,0.477,0.4661,0.094,65.1,0.048780487804878,0.005181347150259,0.5000000000000111,0.0,0.0268920494518853,315810.76431024,1.0,0.005181347150259,0.0,0.0,0.3510362694300518,-0.0414507772020724,-0.0414507772020724,0.3362180874080484,0.5336935791481247,0.7905186009833938,1,0.0,0.012488,0.2941176470588235,17.0,41.2,NEUTRAL,104.2,33.03,1,1,1,0.090674,0.042746,1,1,0,0.090674,1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-06-30 06:00:00-04:00,2026-06-30,7,1,8.52,8.64,8.5,8.575,False,True,47.67,73.18388955443355,73.4762410271661,1.9234522422075373,yellow,0.6806,0.5861,0.1037,78.7,0.0499075785582254,0.0163265306122449,0.3928571428571392,0.5357142857142785,0.0221541017346478,289234.3528059999,1.0,0.0075801749271138,0.0087463556851311,1.0,0.4157434402332361,-0.018075801749271,-0.018075801749271,0.4595744680851062,0.675000976676954,0.9800036944675348,1,0.0,0.013007,0.3333333333333333,18.0,36.2,NEUTRAL,115.5,43.27,1,1,0,0.0,0.084548,0,0,1,0.0,-1.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ABCL,2026-07-01 15:00:00-04:00,2026-07-01,16,0,7.515,7.68,7.5123,7.595,False,True,34.49,-16.954449785331505,-16.540323864520083,0.0388733310193445,yellow,0.6806,0.5107,0.1046,78.7,-0.0166347992351815,0.0220803159973666,0.4770423375074543,0.4931425163983304,0.9948715575299314,7044773.755905585,8.0,0.0348913759052008,0.043449637919684,1.0,0.3403554970375247,0.10862409479921,0.10862409479921,0.27765161073261,0.4616450483045301,0.7471819645732687,1,0.0,0.012488,0.3157894736842105,19.0,53.7,LAUNCH,148.5,61.84,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
