symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,continuation_score_v1,admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
ABCL,2026-06-08 07:00:00-04:00,2026-06-08,8,0,5.69,5.8794,5.65,5.85,True,False,53.6,1.6417404997596157,green,0.7234,0.2692,0.1562,81.6,0.03921367521367523,0.6974716652135973,0.8718395815169976,0.08881325720933296,218099.69999999998,4.0,0.012615384615384669,0.03931623931623924,1.0,0.32649572649572645,0.16068376068376075,0.16068376068376075,0.11694510739856799,0.32113821138211374,0.38895484116054907,1,0.0,0.0,0.0,0.0,35.0,NEUTRAL,121.9,32.96,1,0,0.015385,0.050427,0,0,1,0.015385,-1.0
ABCL,2026-06-08 14:00:00-04:00,2026-06-08,15,0,5.45,5.53,5.44,5.475,False,True,12.97,-0.06863510728943908,yellow,0.7234,0.2692,0.1562,81.6,0.016438356164383536,0.2777777777777723,0.38888888888888123,1.0664278099688371,2507297.88793365,11.0,0.0849315068493152,0.022831050228310504,3.0,0.2803652968036529,0.24018264840182657,0.24018264840182657,0.04534606205250594,0.2364498644986449,0.29991927441948824,1,0.0,0.015385,0.0,1.0,30.0,NEUTRAL,132.0,55.77,1,0,0.011872,0.022831,0,0,0,0.011872,0.23744
ABCL,2026-06-09 04:00:00-04:00,2026-06-09,5,0,5.52,5.66,5.43,5.55,True,False,46.38,0.9129625883953867,orange,0.7234,0.2127,0.1449,81.6,0.04144144144144152,0.13043478260869648,0.5217391304347822,0.1971477805547471,255578.21200395,1.0,0.019819819819819878,0.02162162162162164,1.0,0.29009009009009007,0.22342342342342347,0.22342342342342347,0.057848089202325294,0.24177741978789088,0.315773876554332,1,0.0,0.0136285,0.0,2.0,41.2,NEUTRAL,124.5,33.58,1,0,0.018018,0.067568,0,0,1,0.018018,-1.0
ABCL,2026-06-09 14:00:00-04:00,2026-06-09,15,0,5.27,5.3096,5.25,5.29,False,True,32.44,0.32109596497765397,yellow,0.7234,0.2127,0.1449,81.6,0.011266540642722051,0.3355704697986674,0.6711409395973199,0.45090647745330786,911976.5597895798,11.0,0.06994328922495276,0.051039697542533166,2.0,0.2551984877126654,0.2835538752362949,0.2835538752362949,0.008291241780234417,0.18360406318521497,0.2541340192743093,1,0.0,0.015385,0.0,3.0,48.6,NEUTRAL,146.7,55.46,1,0,0.009452,0.016257,0,0,0,0.009452,0.18903999999999999
ABCL,2026-06-10 09:00:00-04:00,2026-06-10,10,0,5.1407,5.47,5.101,5.45,True,False,46.02,0.6966461404060534,green,0.7234,0.1752,0.1315,79.1,0.06770642201834857,0.8382113821138226,0.9457994579945811,1.226267031169419,1869072.86841015,6.0,0.0036697247706421235,0.08256880733944957,2.0,0.27706422018348625,0.24587155963302748,0.24587155963302748,0.0382930081920365,0.20842572062084266,0.2905364606149585,0,0.0,0.0136285,0.0,4.0,41.2,NEUTRAL,127.1,51.77,1,0,0.00367,0.06422,0,0,1,0.00367,-1.0
ABCL,2026-06-10 13:00:00-04:00,2026-06-10,14,0,5.16,5.21,5.14,5.19,False,True,16.08,-0.25393315290778684,yellow,0.7234,0.1752,0.1315,79.1,0.013487475915221633,0.4285714285714304,0.7142857142857215,0.6356598313328643,1157440.4606129401,10.0,0.05394990366088619,0.036608863198458644,1.0,0.2408477842003854,0.3082851637764932,0.3082851637764932,-0.011240236235473454,0.15077605321507775,0.22896958359479538,0,0.0,0.011872,0.0,5.0,30.0,NEUTRAL,128.9,52.97,1,0,0.001927,0.026975,0,0,0,0.001927,0.03854
ABCL,2026-06-11 04:00:00-04:00,2026-06-11,5,0,5.17,5.339,5.0855,5.29,True,False,49.38,1.0515053582381062,yellow,0.7234,0.1196,0.1176,73.5,0.047920604914933974,0.47337278106508784,0.8067061143984211,0.12205770331731142,117263.43000000001,1.0,0.009262759924385704,0.03865784499054827,1.0,0.2551984877126654,0.2835538752362949,0.2835538752362949,0.006468797564687939,0.16360916809643225,0.2516118347115261,1,0.0,0.010662000000000001,0.0,6.0,41.2,NEUTRAL,127.8,44.32,1,0,0.020794,0.04896,0,0,0,0.020794,0.41587999999999997
ABCL,2026-06-11 13:00:00-04:00,2026-06-11,14,0,5.0999,5.32,5.05,5.295,True,False,70.14,1.0563300718041837,green,0.7234,0.1196,0.1176,73.5,0.05099150141643068,0.7225925925925916,0.9074074074074062,2.6824786666880103,4012373.51493585,10.0,0.008309726156751743,0.04985835694050996,1.0,0.2559017941454202,0.28234183191690276,0.28234183191690276,0.0074200913242008565,0.16470898772601297,0.2527948326649396,1,0.0,0.011872,0.0,7.0,5.0,EXTENSION,80.5,12.51,0,0,0.01983,0.018886,0,0,0,0.01983,0.3966
ABCL,2026-06-12 13:00:00-04:00,2026-06-12,14,0,5.31,5.41,5.3015,5.375,False,True,69.78,0.5304974630691376,green,0.7234,0.1502,0.1006,76.6,0.020186046511627954,0.5990783410138271,0.6774193548387092,1.665655136790034,2370445.353960875,10.0,0.0083720930232558,0.04558139534883723,2.0,0.2669767441860465,0.2632558139534884,0.2632558139534884,0.01779965915546304,0.17311973460212135,0.2701600992497194,1,0.0,0.0136285,0.0,8.0,0.0,NEUTRAL,78.6,8.98,0,0,0.002791,0.028837,0,0,0,0.002791,0.05582
ABCL,2026-06-12 14:00:00-04:00,2026-06-12,15,0,5.375,5.39,5.31,5.32,True,False,35.43,0.0762958058971115,red,0.7234,0.1502,0.1006,76.6,0.015037593984962419,0.6874999999999959,0.12500000000000833,1.0811734719438004,1418004.921753,11.0,0.01879699248120294,0.03571428571428579,0.0,0.2593984962406016,0.2763157894736841,0.2763157894736841,0.007384964968756029,0.1611157187131695,0.25716311218762933,1,0.0,0.011872,0.0,9.0,58.9,LAUNCH,147.4,64.21,1,0,0.00188,0.018797,0,0,0,0.00188,0.037599999999999995
