symbol,signal_ts,signal_date,hour,peak_hour,open,high,low,close,buy_signal,early_bull,scan_score,wt1,wt2,trend_strength,bar_state,htf_range_20d_pct,htf_dist_sma50_pct,htf_sma20_slope_pct,htf_score,gap_pct,bar_range_pct,bar_body_pct,close_loc,vol_ratio_20,dollar_vol_1h,bars_since_rth_open,dist_hod_pct,dist_lod_pct,consec_green,dist_20d_low_pct,dist_20d_high_pct,dist_52w_high_pct,close_vs_sma20,close_vs_sma50,close_vs_sma200,hh_hl_20,dist_20d_low_bounce,ticker_prior_mfe_p50,ticker_prior_hit1r_rate,ticker_prior_n,launch_score,phase,continuation_score_v0,social_missing,guidance_cut,print,outlook,news_velocity_24h,news_velocity_72h,news_headline_count_48h,dilution_flag,distress_flag,unresolved,catalyst_type,st_msg_24h,st_bull_ratio,st_ok,x_posts_24h,x_authors_24h,x_engage_24h,x_sent_lex,x_ok,continuation_score_v1,php_v0_admit,all_hours_admit,hit_1r,mfe,mae,mfe_ge_3,mfe_ge_5,killed,day_mfe,r_multiple
TARS,2026-08-14 12:00:00-04:00,2026-08-14,13,1,69.25,69.51,69.09,69.215,True,False,53.13,9.113475328869656,5.40723687058976,0.2513433860407434,orange,0.2915,0.1106,0.021,38.0,0.0004361098996945,0.0060680488333453,0.0833333333333248,0.2976190476190464,0.2563761238188076,1687254.0550000002,4.0,0.0061402875099327,0.0231886151845698,0.0,0.2019071010619085,0.0307736762262514,0.2316694358159358,0.121521828073288,0.1160415554763673,0.0115288568510931,1,0.0,0.003414,0.0,3.0,35.0,NEUTRAL,62.4,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,36.58,1,1,0,0.007007,0.001011,0,0,0,0.007007,0.14014
TARS,2026-08-17 10:00:00-04:00,2026-08-17,11,1,69.3,69.96,69.27,69.695,True,False,65.8,22.4472546941824,18.627011840206244,0.779632585165962,green,0.2915,0.1121,0.0342,40.8,-0.0059214326978624,0.0099002797905157,0.5724637681159381,0.6159420289855052,0.2760874954129809,1490652.705113205,2.0,0.0038022813688213,0.0141330081067508,2.0,0.207403687495516,0.0236745821077553,0.2231867422340197,0.120809227639498,0.1200104134693725,0.0184666957956373,1,0.0,0.0045205,0.0,4.0,5.0,EXTENSION,48.6,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,-0.47,0,0,0,0.015568,0.001507,0,0,0,0.015568,0.3113599999999999
TARS,2026-08-18 15:00:00-04:00,2026-08-18,16,0,70.5525,71.5,70.01,71.13,True,False,60.78,48.41484355851727,46.48874665438366,0.5114194433752006,yellow,0.2915,0.1311,0.0511,45.9,0.0009906594961789,0.0209475608041613,0.3875838926174513,0.7516778523489894,2.844484329135314,13091460.52107228,7.0,0.0052017432869394,0.0205960916631518,3.0,0.2233937860255868,0.003022634612681,0.1985097708421201,0.1308246291791863,0.1393086304270525,0.0392046643677934,1,0.0,0.005627,0.0,5.0,25.0,NEUTRAL,81.7,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,1.28,0,0,0,0.0,0.0,0,0,0,0.0,0.0
TARS,2026-08-19 15:00:00-04:00,2026-08-19,16,0,72.51,73.51,72.375,73.415,True,False,63.51,69.2599652872257,67.83026850622286,1.5178012563913057,green,0.2698,0.1334,0.0711,44.7,0.0122311261071278,0.0154600558468978,0.79735682819383,0.916299559471367,2.895941206410471,16312174.54454371,7.0,0.0012940134849826,0.0278553429135735,2.0,0.2329891711503099,-0.0260845876183342,0.1612068378396784,0.1545145031805564,0.1714985095966658,0.0723134196193991,1,0.0,0.0045205,0.0,6.0,25.0,NEUTRAL,73.0,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,-14.11,0,0,0,0.0,0.0,0,0,0,0.0,0.0
TARS,2026-08-21 09:00:00-04:00,2026-08-21,10,0,71.72,72.28,71.26,72.135,True,False,42.25,17.947776842372946,17.542096240451798,0.1458093055965309,yellow,0.2876,0.1322,0.1002,45.7,0.0030067827424656,0.014140153878145,0.4068627450980469,0.8578431372549054,0.2029402400482123,1016865.95280858,1.0,0.0020101199140499,0.012130033964095,3.0,0.2085672697026409,0.019061481943578,0.1818118805018367,0.109291382173833,0.1424177731603488,0.0530668464235544,1,0.0,0.003414,0.0,7.0,41.9,NEUTRAL,102.2,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,29.38,0,1,0,0.013863,0.010454,0,0,0,0.013863,0.27726
TARS,2026-08-24 11:00:00-04:00,2026-08-24,12,1,72.655,72.7,72.325,72.65,False,True,25.85,33.2743157884652,34.204296423006475,0.0350808445279244,orange,0.2876,0.1472,0.1058,47.2,0.0020624226591501,0.0051617343427391,0.0133333333333212,0.8666666666666742,0.4644474186238139,2242726.4032212505,3.0,0.0045423262216104,0.0121816930488644,0.0,0.2141775636613902,0.0118375774260151,0.1734342739160357,0.1052791723718241,0.1464234428997492,0.0603598728589834,1,0.0,0.0045205,0.0,8.0,32.1,NEUTRAL,85.1,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,40.88,1,1,0,0.005919,0.001789,0,0,0,0.005919,0.1183799999999999
TARS,2026-08-24 12:00:00-04:00,2026-08-24,13,1,72.65,72.87,72.52,72.805,True,False,36.36,35.6670397241502,33.729272004268175,0.2125779988705015,yellow,0.2876,0.1472,0.1058,47.2,0.0020624226591501,0.0048073621317218,0.4428571428571353,0.8142857142857253,0.3405474732800789,1620202.4700000002,4.0,0.0024036810658608,0.0142847331914017,1.0,0.2158505597143053,0.0096834008653251,0.170936062083648,0.1076373041229271,0.1488693566457845,0.0626221685271616,1,0.0,0.005627,0.0,9.0,56.6,LAUNCH,101.6,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,58.25,1,1,0,0.003777,0.002266,0,0,0,0.003777,0.07554
TARS,2026-08-26 15:00:00-04:00,2026-08-26,16,0,70.825,71.15,70.435,70.595,False,True,37.1,-37.82979719421701,-37.400233155101375,-0.5571684306161551,red,0.2962,0.1205,0.1067,45.1,-0.0044805376645198,0.0101281960478787,0.3216783216783257,0.2237762237762179,3.59876129139091,14232606.980409998,7.0,0.0078617465826192,0.0116863800552447,0.0,0.1913025001770663,0.0482328776825554,0.2075926057086196,0.0538218676061172,0.1071120520661806,0.0300234434473796,1,0.0,0.004702,0.0,10.0,49.8,NEUTRAL,106.5,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,50.78,0,0,0,0.0,0.0,0,0,0,0.0,0.0
TARS,2026-08-27 10:00:00-04:00,2026-08-27,11,1,69.965,71.37,69.74,71.33,True,False,59.71,-39.24981630939205,-39.50068742843796,0.499928215435815,green,0.2962,0.1049,0.1053,43.6,-0.007436787307883,0.0228515351184636,0.8374233128834275,0.9754601226993828,1.597587861001173,6550520.220688569,2.0,0.0005607738679378,0.0261460815925977,1.0,0.1996354969858404,0.0374316556848451,0.1951493060423384,0.0552399550269245,0.1155596565583898,0.0405532014370517,1,0.0,0.003777,0.0,11.0,25.0,NEUTRAL,72.7,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,20.14,0,0,0,0.011426,0.002804,0,0,0,0.011426,0.22852
TARS,2026-08-28 11:00:00-04:00,2026-08-28,12,1,71.335,71.635,71.11,71.29,False,True,50.83,-2.2952316570908176,-1.1328089889563264,-0.2637596863135748,orange,0.291,0.1209,0.1053,44.8,-0.0105628908964559,0.0073642867162295,0.0857142857142609,0.3428571428571521,1.549926874348177,5799013.760000001,3.0,0.0078201711319959,0.0078552391639781,0.0,0.1959601627156684,0.0380137466685368,0.1958198905877401,0.0450780620098219,0.1110695505537424,0.0396913739815376,1,0.0,0.004702,0.0,12.0,30.0,NEUTRAL,75.6,1,0,unknown,unknown,0.0,0.0,0.0,0,0,0,none,0.0,0.5,0,0.0,0.0,0.0,0.0,0,50.53,1,1,0,0.01038,0.001824,0,0,0,0.01038,0.2076
